"datasetname","batch_size","n_normflows","minus_log_s","opt_identifier","opt_momentum","opt_offset","opt_decay","opt_step_rate"
"boston",100,20,6,"rmsprop",0.004279299399694701,1.9632335250383767e-05,0.9067310168268607,0.001
"boston",10,4,3,"adam",0.8680628014262137,0.00013342121063975065,0.9631178668240837,0.001
"boston",100,8,1,"rmsprop",0.9111357882282669,3.307896644699759e-05,0.9835545818910154,0.001
"concrete",1,8,2,"adam",0.001619340127615676,0.000245545726856333,0.7986128566392938,0.001
"concrete",100,1,6,"adadelta",0.9812799759318527,1e-08,0.8904829656855371,0.1
"boston",10,8,2,"adam",9.46773299684367e-05,0.00032210169420433376,0.8436502422827987,0.01
"concrete",1,20,3,"adam",0.8143807642185888,0.00045727835411834075,0.8551344676828511,0.001
"boston",100,8,2,"rmsprop",0.006625593846684921,1.581493137203194e-05,0.9535358301241471,0.01
"energy",100,4,4,"adadelta",0.9761878102190022,1e-08,0.9540570283885572,0.1
"energy",100,3,1,"rmsprop",0.9554807238723323,1.0179119970931488e-05,0.9573182307586535,0.0001
"concrete",100,8,7,"adam",0.8364140179731206,0.00016812893711244258,0.8909897560205903,0.01
"kin8nm",100,20,3,"adam",0.004105884927601107,0.00043540929852162646,0.8177217231266194,0.01
"energy",10,3,1,"rmsprop",0.004972466908206907,2.811015656542281e-05,0.918582946021817,0.01
"concrete",1,3,4,"adam",0.0025189968182259847,0.0006777556239873291,0.8073647960535589,0.0001
"winered",100,2,4,"rmsprop",0.9709749942687481,1.4746962991970304e-05,0.9489552507648678,0.0001
"concrete",100,4,2,"adam",0.0003539993369520389,0.0001993978064476119,0.9770939491335362,0.1
"concrete",10,20,4,"adam",0.8118402397504858,0.0008707278248052969,0.8224657945632474,0.001
"energy",10,2,3,"adam",0.9238333653743134,0.00010534229151711208,0.8589417398755472,0.01
"kin8nm",100,2,5,"rmsprop",0.00572619189748114,2.8415854354155986e-05,0.9467670599078688,0.001
"concrete",10,2,1,"adam",0.8908060454501374,0.00033854443716180803,0.9745420203910834,0.001
"energy",100,1,1,"rmsprop",0.006643468816832593,1.053494754699284e-05,0.9048824973941036,0.01
"boston",100,20,6,"adadelta",0.9692692808028014,1e-08,0.9225639064565548,0.1
"concrete",100,3,5,"adam",0.0025980168995333518,0.0005696827467787709,0.8638131522267684,0.01
"powerplant",100,1,1,"adam",0.0018480682710029317,0.000753448449040843,0.7868328181455347,0.01
"concrete",100,2,2,"adam",0.9150409539597691,0.000417904230941881,0.8733335896409573,0.01
"concrete",100,2,2,"rmsprop",0.007679497437524747,2.3264877022506887e-05,0.883359400527604,0.01
"winered",100,8,1,"adadelta",0.9404885482355091,5e-05,0.8904997330086936,0.1
"energy",100,8,6,"adam",4.6147178247536445e-05,0.00038487052573374185,0.8090161529624685,0.01
"boston",10,8,1,"adam",0.0009897871809519975,0.0001800669705982037,0.9571221856995811,0.001
"winered",100,1,4,"rmsprop",0.004878907967629521,2.2045247562374775e-05,0.839135697624471,0.01
"boston",1,4,1,"adam",0.002276920828659428,0.00016459919899450447,0.9376341331182867,0.001
"energy",10,2,4,"adam",0.003299382534301114,0.00033191459417029586,0.9880436498467586,0.001
"energy",100,2,7,"adam",0.006174293671650477,0.00020186081637572082,0.9216635160737028,0.01
"kin8nm",10,8,1,"rmsprop",0.00211166146663024,3.342522002107818e-05,0.9589873412863745,0.0001
"boston",1,20,3,"adam",0.007135820024732294,0.0007310817856497204,0.8925774839235782,0.001
"boston",10,4,2,"rmsprop",0.9734474435093218,2.8161814003278157e-05,0.9129096857648933,0.0001
"boston",10,3,2,"adam",0.006217705224848178,0.00013368556071840875,0.8010629598192969,0.001
"energy",100,4,3,"rmsprop",0.0040930990224954215,1.0720560977570458e-05,0.8296118935129767,0.01
"concrete",1,20,4,"adam",0.8592381097662359,0.0004683574383198892,0.9813441346537463,0.0001
"concrete",100,3,6,"adam",0.8331812989202648,0.0003107465818437513,0.9028031704568209,0.01
"energy",100,3,7,"adadelta",0.9695144895547694,1e-08,0.8793201823049316,0.1
"concrete",10,2,1,"adam",0.007648587958596123,0.00031200898421027086,0.9341251430780092,0.1
"energy",1,20,2,"adam",0.009520306237840257,0.00028060366819316826,0.9771567567773104,0.0001
"kin8nm",10,2,1,"adam",0.8655573248191609,0.0004524578473623809,0.9695974017196086,0.01
"boston",100,1,6,"adam",0.004353947365429286,0.000578317936631541,0.9539261947531844,0.01
"concrete",100,8,4,"adam",0.9017513923409434,0.00013103918253541433,0.9362295365454624,0.001
"energy",100,8,5,"adam",0.0005241721080334649,0.00020203219252256605,0.9548721810755377,0.01
"winered",10,2,2,"adam",0.800321862511731,0.00024911309557497835,0.8207024073230098,0.01
"concrete",100,2,7,"adam",0.8424992340725268,0.000895657606694477,0.9672732409305222,0.01
"winered",100,1,3,"adam",0.8813664468049144,0.00010820760039274461,0.9769761825907668,0.001
"kin8nm",100,8,2,"adam",0.8006556056069294,0.00010845533586612857,0.8038899375340872,0.1
"concrete",1,4,5,"adam",0.804862451295937,0.0006180865753615711,0.9450746706008176,0.0001
"boston",100,4,7,"adam",0.0013381267689319153,0.0009882440818709335,0.8703139561938535,0.01
"energy",100,8,2,"adadelta",0.9965095952392068,5e-05,0.9347244148309023,0.001
"kin8nm",10,3,1,"adam",0.8931579530824088,0.00019712865850591188,0.9724260993981437,0.1
"winered",1,2,1,"adam",0.0017050629562193487,0.00016183592543994883,0.8025748884124895,0.0001
"energy",1,1,2,"adam",0.8302671546444164,0.00026678688069079745,0.9136939585976824,0.001
