minus_log_s,batch_size,n_normflows,opt_identifier,opt_momentum,opt_offset,opt_decay,opt_step_rate
4,100,2,rmsprop,0.9709749942687481,1.4746962991970304e-05,0.9489552507648678,0.0001
1,1,2,adam,0.0017050629562193487,0.00016183592543994883,0.8025748884124895,0.0001
1,1,2,adam,0.0017050629562193487,0.00016183592543994883,0.8025748884124895,0.0001
1,100,8,adadelta,0.9404885482355091,5e-05,0.8904997330086936,0.1
4,100,1,rmsprop,0.004878907967629521,2.2045247562374775e-05,0.839135697624471,0.01
2,10,2,adam,0.800321862511731,0.00024911309557497835,0.8207024073230098,0.01
4,100,1,rmsprop,0.004878907967629521,2.2045247562374775e-05,0.839135697624471,0.01
2,10,2,adam,0.800321862511731,0.00024911309557497835,0.8207024073230098,0.01
2,10,2,adam,0.800321862511731,0.00024911309557497835,0.8207024073230098,0.01
1,1,2,adam,0.0017050629562193487,0.00016183592543994883,0.8025748884124895,0.0001
1,100,8,adadelta,0.9404885482355091,5e-05,0.8904997330086936,0.1
3,100,1,adam,0.8813664468049144,0.00010820760039274461,0.9769761825907668,0.001
4,100,1,rmsprop,0.004878907967629521,2.2045247562374775e-05,0.839135697624471,0.01
