"batch_size","best_val_error","best_val_loss","datasetname","minus_log_s1","modelname","opt_decay","opt_identifier","opt_momentum","opt_offset","opt_step_rate"
100,0.08492125570774078,0.6954131914671198,"kin8nm",4,"planarflowdet",0.9489552507648678,"rmsprop",0.9709749942687481,1.4746962991970304e-05,0.0001
100,6.169801235198975,1.0170189108899845,"concrete",5,"planarflowdet",0.9467670599078688,"rmsprop",0.00572619189748114,2.8415854354155986e-05,0.001
100,9.080611228942871,2.103256541660854,"energy",6,"planarflow",0.9028031704568209,"adam",0.8331812989202648,0.0003107465818437513,0.01
10,3.0700650215148926,4.150449056210726,"boston",2,"planarflow",0.8010629598192969,"adam",0.006217705224848178,0.00013368556071840875,0.001
100,9.031397819519043,1.9173750133311767,"boston",2,"radialflow",0.9535358301241471,"rmsprop",0.006625593846684921,1.581493137203194e-05,0.01
10,17.753108978271484,2.459724753243582,"yacht",3,"planarflow",0.9631178668240837,"adam",0.8680628014262137,0.00013342121063975065,0.001
10,0.49524205923080444,7.566930498395647,"yacht",5,"radialflowdet",0.9571221856995811,"adam",0.0009897871809519975,0.0001800669705982037,0.001
100,12.9210205078125,2.479400388582404,"yacht",3,"radialflow",0.9048824973941036,"rmsprop",0.006643468816832593,1.053494754699284e-05,0.01
10,0.08818294107913971,0.6841565263949757,"kin8nm",4,"planarflowdet",0.9880436498467586,"adam",0.003299382534301114,0.00033191459417029586,0.001
100,4.091363906860352,787.3143429207546,"concrete",7,"radialflowdet",0.8793201823049316,"adadelta",0.9695144895547694,1e-08,0.1
100,17.458019256591797,1.904906504641297,"concrete",7,"planarflow",0.9216635160737028,"adam",0.006174293671650477,0.00020186081637572082,0.01
1,0.5313636064529419,-1.4487608092171806,"yacht",2,"radialflowdet",0.7986128566392938,"adam",0.001619340127615676,0.000245545726856333,0.001
1,4.048132419586182,6.915094579969135,"yacht",2,"planarflow",0.9136939585976824,"adam",0.8302671546444164,0.00026678688069079745,0.001
100,0.07645244151353836,0.21513239852781219,"kin8nm",1,"radialflowdet",0.9835545818910154,"rmsprop",0.9111357882282669,3.307896644699759e-05,0.001
10,0.1745082139968872,3.095718773453983,"kin8nm",2,"radialflow",0.918582946021817,"rmsprop",0.004972466908206907,2.811015656542281e-05,0.01
10,6.212455749511719,4.87878288976204,"yacht",1,"radialflow",0.9724260993981437,"adam",0.8931579530824088,0.00019712865850591188,0.1
100,8.514571189880371,1.7171917790951936,"boston",2,"planarflowdet",0.883359400527604,"rmsprop",0.007679497437524747,2.3264877022506887e-05,0.01
100,1.2531195878982544,131.32262000583466,"yacht",6,"planarflowdet",0.8904829656855371,"adadelta",0.9812799759318527,1e-08,0.1
10,0.10510112345218658,1.611255432790534,"kin8nm",1,"planarflow",0.9745420203910834,"adam",0.8908060454501374,0.00033854443716180803,0.001
10,9.507959365844727,0.7779796634401593,"yacht",2,"planarflowdet",0.9129096857648933,"rmsprop",0.9734474435093218,2.8161814003278157e-05,0.0001
1,0.429805189371109,-1.6354475112188431,"energy",1,"radialflowdet",0.8925774839235782,"adam",0.007135820024732294,0.0007310817856497204,0.001
